"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 01:34:20 UTC 2024","Thu Jan 04 01:34:21 UTC 2024","1244","","My Login application","","","","should login with valid credentials",""
"passed","Thu Jan 04 01:34:22 UTC 2024","Thu Jan 04 01:34:22 UTC 2024","52","","I go to google home page and use the search bar","","","","I validate the search results page contains the word Cat",""
"passed","Thu Jan 04 01:34:19 UTC 2024","Thu Jan 04 01:34:22 UTC 2024","2472","","I go to google home page and use the search bar","","","","I use the search bar with the word Cats",""
"passed","Thu Jan 04 01:34:22 UTC 2024","Thu Jan 04 01:34:22 UTC 2024","185","","I go to google home page to check for links","","","","I iterate through all links and print the text",""
